ich,I
tom,Tom
monaten,monthly
leiche,corpse
niemanden,no one
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,rules
fenster,window
fangen,catch
fort,forth
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,be
ziel,target
benutzt,used
bewegung,Move
jemandem,someone
wünschte,wished
worte,words
kamen,came
welcher,which
